Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
Amrut Kadhambam,,89.83333333333333,India,,,1.0,,2.0,,2.0,,2.0,,,,,,,,,,,2.0,,,,,,10.0,,2.0,,,,2.0,,2.0,,,,,,,,,,,,3.0,,4.0,2.0,,,,,,,2.0,4.0,4.0,,,,2.0,3.0,,,2.0,
Amrut Peated Cask Strength,92.8,88.0,India,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,
Amrut Portonova,58.57000000000001,91.625,India,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,2.0,,,,1.0,3.0,,,,1.0,
Amrut Single Malt Whisky,42.5,84.28571428571429,India,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,
AnCnoc 12,38.82285714285714,84.25581395348837,Speyside,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,4.0,,,,6.0,
AnCnoc 16,41.9925,87.0625,Speyside,,,,2.0,,,4.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,2.0,,,2.0,,,,,,2.0,1.0,1.0,,,,,1.0,,,,,
AnCnoc Rutter,68.33333333333333,85.11111111111111,Speyside,2.0,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Angel's Envy,44.18181818181818,83.0,Bourbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel's Envy Cask Strength,180.0,87.28571428571429,Bourbon,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,10.0,,,,,,,4.0,,,,,,6.0,,2.0,,2.0,
Angel's Envy Rye,74.0,89.375,Rye,,1.0,4.0,9.0,1.0,7.0,8.0,,,,1.0,,,,,,2.0,,,5.0,,,,,4.0,,2.0,,1.0,,,,1.0,,,,,,1.0,,,,1.0,3.0,2.0,3.0,,,,,2.0,7.0,,,,13.0,,,2.0,,,9.0,,2.0,,2.0,
Ardbeg 10,48.02408163265306,85.96923076923076,Islay,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,4.0,,,2.0,,,,,
Ardbeg 21 Sovereign,343.75,91.75,Islay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,
Ardbeg Airigh Nam Beist 1990,136.0,88.55555555555556,Islay,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
Ardbeg Alligator,141.0,88.625,Islay,,,,,,,2.0,,,,,,10.0,1.0,,,,,,,,,,,,,3.0,,,1.0,,3.0,,1.0,,1.0,,,,2.0,,,,1.0,2.0,4.0,9.0,4.0,6.0,,,,2.0,2.0,,,,7.0,,,,6.0,,2.0,,2.0,
Ardbeg Ardbog,107.49117647058823,89.35135135135135,Islay,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
Ardbeg Auriverdes,100.2,83.54545454545455,Islay,,,,,,,2.0,,,,,,10.0,1.0,,,,,,,,,,,,,3.0,,,1.0,,3.0,,1.0,,1.0,,,,2.0,,,,1.0,2.0,4.0,9.0,4.0,6.0,,,,2.0,2.0,,,,7.0,,,,6.0,,2.0,,2.0,
Ardbeg Blasda,85.0,80.66666666666667,Islay,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,
Ardbeg Corryvreckan,66.00842105263159,90.50746268656717,Islay,,,,3.0,,1.0,2.0,,,,,4.0,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,2.0,,2.0,,,,,,,,3.0,,,,3.0,,,,1.0,
Ardbeg Day,242.5,90.55555555555556,Islay,,,,1.0,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,6.0,4.0,8.0,,1.0,,,,,,,,2.0,,,,4.0,,,,,
Ardbeg Galileo,102.17647058823529,88.33333333333333,Islay,,,,,,,2.0,,,,,,10.0,1.0,,,,,,,,,,,,,3.0,,,1.0,,3.0,,1.0,,1.0,,,,2.0,,,,1.0,2.0,4.0,9.0,4.0,6.0,,,,2.0,2.0,,,,7.0,,,,6.0,,2.0,,2.0,
Ardbeg Supernova 2014,154.5,93.42857142857143,Islay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardbeg Uigeadail,63.82053191489362,92.09016393442623,Islay,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,2.0,,,,,
Ardmore Traditional Cask Peated,49.083333333333336,78.9090909090909,Highland ,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,4.0,,,,,
Arran 10,35.5025,84.08695652173913,Island ,,,,,,,2.0,,,1.0,,,,,,,,,,3.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,3.0,1.0,,,,,,,,,2.0,,4.0,,,2.0,6.0,,,,2.0,
Arran 12 Cask Strength,59.0,86.6,Island,,,,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,1.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,
Arran 14,52.62777777777777,84.25,Island ,,,,2.0,,,,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,3.0,2.0,,,,,1.0,,,,,,2.0,,,,4.0,,,,2.0,
Arran Amarone Cask Finish,40.736000000000004,82.14285714285714,Island ,,,,,4.0,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,7.0,,,,,,4.0,,,,1.0,
Arran Port Cask Finish,45.197500000000005,75.5,Island,,,8.0,,1.0,3.0,,,3.0,,1.0,,3.0,,,,,,5.0,7.0,,,,,,5.0,5.0,,,,,7.0,,2.0,,,,,3.0,8.0,,,1.0,1.0,1.0,,1.0,9.0,4.0,,4.0,,,,,,,1.0,2.0,,,19.0,,,2.0,,
Arran Sauternes Cask Finish,42.92333333333334,80.88888888888889,Island ,,,,,,,,1.0,,,,,,,,4.0,2.0,,,,,,,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,4.0,,,,,2.0,2.0,,,,
Arran Sherry Single Cask,82.16666666666667,88.0,Island ,,2.0,1.0,2.0,4.0,4.0,,1.0,,,6.0,,4.0,,,7.0,,,,8.0,,2.0,2.0,,,3.0,,2.0,,,,,1.0,,,,,,,,2.0,,,5.0,,8.0,3.0,21.0,2.0,,1.0,,,,3.0,23.0,4.0,13.0,,,,,,,,,
Auchentoshan 12,33.58894736842105,79.2,Lowland,,,,,,,4.0,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,3.0,,,,,,,2.0,,,,,,,,,2.0,,,,,
Auchentoshan American Oak,26.846666666666664,72.33333333333333,Lowland,,,,,,1.0,,,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,
Auchentoshan Classic,27.296,75.875,Lowland,,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
